timestamp_us,x,y,polarity
342.0,815,522,-1
365.0,668,522,1
369.0,786,529,1
371.0,509,487,1
373.0,509,488,1
374.0,818,522,1
375.0,668,514,1
375.0,668,521,1
376.0,668,523,1
380.0,815,521,-1
381.0,819,522,1
381.0,775,535,1
382.0,668,513,1
382.0,667,523,1
383.0,804,522,1
384.0,668,520,1
384.0,772,535,-1
386.0,508,489,1
386.0,668,517,1
387.0,668,515,1
387.0,668,516,1
387.0,801,520,-1
389.0,143,388,1
389.0,819,521,1
390.0,668,512,1
391.0,630,510,1
392.0,804,521,1
393.0,508,488,1
393.0,509,489,1
393.0,667,519,1
393.0,811,522,1
393.0,786,528,1
393.0,775,536,1
393.0,844,540,-1
393.0,855,540,1
394.0,668,518,1
394.0,668,519,1
395.0,667,518,1
395.0,801,521,-1
395.0,847,539,1
395.0,851,540,-1
396.0,782,529,-1
397.0,144,389,1
397.0,667,517,1
398.0,668,511,1
398.0,797,521,1
398.0,800,522,-1
399.0,818,523,1
400.0,630,511,1
400.0,667,516,1
400.0,807,523,-1
401.0,508,490,1
401.0,667,512,1
401.0,667,513,1
401.0,667,514,1
401.0,667,515,1
402.0,808,522,-1
402.0,736,535,-1
403.0,793,521,-1
403.0,667,522,1
404.0,509,473,1
404.0,705,514,1
405.0,667,520,1
406.0,509,486,1
406.0,705,515,1
407.0,509,471,1
407.0,782,530,-1
407.0,786,530,1
407.0,843,540,-1
407.0,847,540,1
407.0,854,540,1
409.0,509,472,1
409.0,786,527,1
409.0,779,535,-1
410.0,705,516,1
410.0,783,528,-1
410.0,740,535,1
410.0,782,536,1
412.0,510,473,1
412.0,797,520,1
412.0,793,522,-1
412.0,833,522,1
412.0,811,523,1
412.0,829,523,-1
412.0,783,535,1
412.0,844,539,-1
413.0,510,472,1
413.0,509,474,1
414.0,805,520,1
414.0,808,521,-1
414.0,822,522,-1
414.0,782,528,-1
414.0,975,530,-1
414.0,986,540,-1
415.0,667,521,1
415.0,815,523,-1
415.0,836,532,1
415.0,772,536,-1
415.0,779,536,-1
416.0,705,513,1
416.0,807,522,-1
416.0,668,524,1
416.0,829,529,1
417.0,387,505,-1
417.0,667,511,1
417.0,804,520,1
417.0,833,523,1
417.0,783,527,-1
417.0,953,530,-1
417.0,771,536,-1
417.0,855,539,1
418.0,516,362,1
418.0,630,512,1
418.0,556,519,1
419.0,509,475,1
419.0,705,517,1
419.0,794,520,-1
419.0,986,524,-1
420.0,822,523,-1
420.0,667,524,1
